Day,Loco1,Loco2,Loco3,Loco4,From,To,Headcode,Train,TrainStartDay,Mileage
Wednesday,83001,,,,Wolverhampton,Crewe,1S19,2126 Bristol TM - Glasgow Central,Tuesday,40.64
Wednesday,47437,,,,Crewe,Bangor,1D02,0223 Crewe - Holyhead,Wednesday,80.89
Wednesday,40097,,,,Bangor,Oxford,1Z33,0708 Mystery Excursion from Bangor,Wednesday,202.50
Wednesday,50008,,,,Oxford,Worcester SH,1B58,1050 Paddington - Worcester SH,Wednesday,56.54
Wednesday,DMU,,,,Worcester SH,Hereford,2V75,1230 Birmingham NS - Hereford,Wednesday,29.35
Wednesday,33022,,,,Hereford,Cardiff Central,1V05,1227 Crewe - Cardiff,Wednesday,55.20
Wednesday,47134,,,,Cardiff Central,London Paddington,1A39,1320 Fishguard Harbour - Paddington,Wednesday,145.13
Wednesday,31259,31121,,,London Paddington,Oxford,1A46,1806 Paddington - Oxford,Wednesday,63.45
Wednesday,50031,,,,Oxford,London Paddington,1V64,1623 Manchester Picc. - Paddington,Wednesday,63.34
Wednesday,47134,,,,London Paddington,Cardiff Central,1C82,2133 Paddington - Fishguard Harbour,Wednesday,145.13
Thursday,47111,,,,Cardiff Central,Swansea,1C02,0124 Bristol TM - Milford Haven,Thursday,45.71
Thursday,37267,,,,Swansea,Carmarthen,1C02,0124 Bristol TM - Milford Haven,Thursday,31.59
Thursday,37180,,,,Carmarthen,Whitland,1C02,0124 Bristol TM - Milford Haven,Thursday,14.08
Thursday,47401,,,,Whitland,Clunderwen,1C04,0050 Paddington - Milford Haven,Thursday,5.35
Thursday,37180,,,,Clunderwen,Swansea,2C53,0730 Milford Haven - Swansea,Thursday,51.01
Thursday,HST,,,,Swansea,London Paddington,1A27,0942 Swansea - Paddington,Thursday,190.84
Thursday,Tube,,,,London Paddington,London Kings Cross,,,,
Thursday,47461,,,,London Kings Cross,Peterborough,1D03,1305 Kings Cross - Cleethorpes,Thursday,76.36
Thursday,55015,,,,Peterborough,Grantham,1L43,1403 Kings Cross - York,Thursday,29.10
Thursday,120 DMU,,,,Grantham,Skegness,2E78,1410 Derby - Skegness,Thursday,55.64
Thursday,31167,,,,Skegness,Boston,1J27,1726 Skegness - Sheffield,Thursday,23.61
Thursday,20006,20164,,,Boston,Nottingham,1M07,1820 Skegness - Nottingham,Thursday,50.78
Thursday,31147,31240,,,Nottingham,Beeston,1M47,1840 Skegness - Burton,Thursday,3.31
Thursday,31270,31120,,,Beeston,Leicester,1M22,1853 Skegness - Leicester,Thursday,24.19
Thursday,31179,,,,Leicester,Birmingham New St,1M76,1834 Norwich - Birmingham NS,Thursday,39.85
Thursday,86319,,,,Birmingham New St,Wolverhampton,1G47,2140 Euston - Wolverhampton,Thursday,12.88
Friday,86002,,,,Wolverhampton,Glasgow Central,1S19,2126 Bristol TM - Glasgow Central,Thursday,283.80
Friday,Walk,,,,Glasgow Central,Glasgow Queen St,,,,
Friday,37027,,,,Glasgow Queen St,Arrochar & Tarbet,1B08,0806 Glasgow Qn St - Oban,Friday,41.65
Friday,37081,,,,Arrochar & Tarbet,Glasgow Queen St,1T16,0740 Oban - Glasgow Qn St,Friday,41.65
Friday,40160,,,,Glasgow Queen St,Dundee,1A31,1135 Glasgow Qn St - Aberdeen,Friday,83.44
Friday,101 DMU,,,,Dundee,Haymarket,2G62,1250 Arbroath - Edinburgh,Friday,57.95
Friday,101 DMU,,,,Haymarket,Edinburgh Waverley,2G63,1425 Cowdenbeath - Edinburgh,Friday,1.23
Friday,47706,,,,Edinburgh Waverley,Glasgow Queen St,1O42,1500 Edinburgh - Glasgow Qn St,Friday,47.26
Friday,47701,,,,Glasgow Queen St,Haymarket,1O45,1630 Glasgow Qn St - Edinburgh,Friday,46.04
Friday,40157,,,,Haymarket,Edinburgh Waverley,1G80,1440 Aberdeen - Edinburgh,Friday,1.23
Friday,47702,,,,Edinburgh Waverley,Haymarket,1C93,1735 Edinburgh - Birmingham NS,Friday,1.23
Friday,47268,,,,Haymarket,Edinburgh Waverley,1G83,1345 Liverpool - Edinburgh,Friday,1.23
Friday,47272,,,,Edinburgh Waverley,Haymarket,1O54,1800 Edinburgh - Glasgow Qn St,Friday,1.23
Friday,101 DMU,,,,Haymarket,Edinburgh Waverley,2G87,1750 Kirkcaldy - Edinburgh,Friday,1.23
Friday,HST,,,,Edinburgh Waverley,York,1E25,1900 Edinburgh - Leeds,Friday,204.60
Friday,40086,,,,York,Dewsbury,1M41,2208 York - Shrewsbury,Friday,34.68
Saturday,40124,40036,,,Dewsbury,Plymouth,1Z80,0542 The 'China Clay Dart' Railtour,Saturday,330.39
Saturday,37142,37299,,,Plymouth,Parkandillack,1Z80,1314 The 'China Clay Dart' Railtour,Saturday,46.58
Saturday,37142,37299,,,Parkandillack,Plymouth,1Z81,1500 The 'China Clay Dart' Railtour,Saturday,46.58
Saturday,50034,,,,Plymouth,Exeter St Davids,1M74,1400 Penzance - Birmingham NS,Saturday,52.04
Saturday,50010,,,,Exeter St Davids,Basingstoke,1O24,1820 Exeter St Davids - Waterloo,Saturday,124.71
Saturday,33003,,,,Basingstoke,Salisbury,1L97,2210 Waterloo - Salisbury,Saturday,36.03
